Station,Distance,Farm,TFS,ASV,abund
2,Control,Int,46.69922388,ASV_001,29
2,Control,Int,47.80487134,ASV_001,24
3,Control,Ext,24.25269015,ASV_001,31
3,Control,Ext,203.9607443,ASV_001,78
3,Control,Ext,16.67861809,ASV_001,169
3,Control,Int,55.44145201,ASV_001,NA
3,Control,Int,110.1372753,ASV_001,NA
3,Control,Int,79.99207324,ASV_001,NA
1,0m,Ext,466.252599,ASV_002,72
1,0m,Ext,571.0789951,ASV_002,85
1,0m,Ext,185.7362293,ASV_002,230
1,0m,Int,110.1372753,ASV_002,280
1,0m,Int,278.641928,ASV_002,55
1,0m,Int,289.7236522,ASV_002,86
2,0m,Ext,202.3760388,ASV_002,83
2,0m,Ext,174.5004892,ASV_002,54
2,0m,Ext,402.0303347,ASV_002,47
2,0m,Int,500.1597489,ASV_002,54
2,0m,Int,632.0241119,ASV_002,NA
2,0m,Int,496.2736783,ASV_002,59
3,0m,Ext,441.4777159,ASV_002,33
3,0m,Ext,704.9504701,ASV_002,45
3,0m,Ext,180.0307276,ASV_002,NA
3,0m,Int,466.252599,ASV_002,19
3,0m,Int,110.1372753,ASV_002,49
3,0m,Int,357.640233,ASV_002,127
1,50m,Ext,427.9162698,ASV_002,191
1,50m,Ext,438.0475846,ASV_002,419
1,50m,Ext,398.9066961,ASV_002,161
1,50m,Int,276.4769752,ASV_002,218
1,50m,Int,247.8757333,ASV_002,376
1,50m,Int,411.548776,ASV_002,NA
1,100m,Ext,134.8991612,ASV_002,379
1,100m,Ext,103.4747421,ASV_002,290
1,100m,Ext,143.5850504,ASV_002,189
1,100m,Int,154.0269435,ASV_002,381
1,100m,Int,194.6352989,ASV_002,347
1,100m,Int,40.26680955,ASV_002,398
1,250m,Ext,121.8910417,ASV_002,339
1,250m,Ext,134.8991612,ASV_002,318
1,250m,Ext,101.0815428,ASV_002,341
1,250m,Int,139.1743613,ASV_002,629
1,250m,Int,162.6706403,ASV_002,257
1,250m,Int,207.1674794,ASV_002,268
1,500m,Ext,91.33440445,ASV_002,341
1,500m,Ext,354.8614903,ASV_002,452
1,500m,Ext,82.52716775,ASV_002,322
1,500m,Int,170.464582,ASV_002,361
1,500m,Int,276.4769752,ASV_002,409
1,500m,Int,194.6352989,ASV_002,497
1,1000m,Ext,34.18296926,ASV_002,350
1,1000m,Ext,42.85950948,ASV_002,348
1,1000m,Ext,213.7329942,ASV_002,406
1,1000m,Int,103.4747421,ASV_002,467
1,1000m,Int,133.8510407,ASV_002,373
1,2000m,Ext,32.1151392,ASV_002,585
1,2000m,Ext,36.95598261,ASV_002,339
1,2000m,Ext,41.86824004,ASV_002,582
1,2000m,Int,150.4645556,ASV_002,472
1,2000m,Int,14.72177286,ASV_002,419
1,2000m,Int,24.06425502,ASV_002,382
1,Control,Ext,34.18296926,ASV_002,572
1,Control,Ext,47.06490212,ASV_002,614
1,Control,Ext,42.85950948,ASV_002,529
1,Control,Int,26.63237405,ASV_002,NA
1,Control,Int,41.86824004,ASV_002,353
1,Control,Int,47.80487134,ASV_002,547
2,Control,Ext,127.7311348,ASV_002,506
2,Control,Ext,45.26470299,ASV_002,473
2,Control,Ext,34.45063898,ASV_002,526
2,Control,Int,16.67861809,ASV_002,245
2,Control,Int,46.69922388,ASV_002,310
2,Control,Int,47.80487134,ASV_002,396
3,Control,Ext,24.25269015,ASV_002,291
3,Control,Ext,203.9607443,ASV_002,399
3,Control,Ext,16.67861809,ASV_002,479
3,Control,Int,55.44145201,ASV_002,NA
3,Control,Int,110.1372753,ASV_002,NA
3,Control,Int,79.99207324,ASV_002,NA
1,0m,Ext,466.252599,ASV_003,0
1,0m,Ext,571.0789951,ASV_003,0
1,0m,Ext,185.7362293,ASV_003,43
1,0m,Int,110.1372753,ASV_003,0
1,0m,Int,278.641928,ASV_003,0
1,0m,Int,289.7236522,ASV_003,0
2,0m,Ext,202.3760388,ASV_003,0
2,0m,Ext,174.5004892,ASV_003,0
2,0m,Ext,402.0303347,ASV_003,0
2,0m,Int,500.1597489,ASV_003,0
2,0m,Int,632.0241119,ASV_003,NA
2,0m,Int,496.2736783,ASV_003,0
3,0m,Ext,441.4777159,ASV_003,0
3,0m,Ext,704.9504701,ASV_003,0
3,0m,Ext,180.0307276,ASV_003,NA
3,0m,Int,466.252599,ASV_003,0
3,0m,Int,110.1372753,ASV_003,20
3,0m,Int,357.640233,ASV_003,41
1,50m,Ext,427.9162698,ASV_003,36
1,50m,Ext,438.0475846,ASV_003,48
1,50m,Ext,398.9066961,ASV_003,47
1,50m,Int,276.4769752,ASV_003,88
1,50m,Int,247.8757333,ASV_003,59
1,50m,Int,411.548776,ASV_003,NA
1,100m,Ext,134.8991612,ASV_003,306
1,100m,Ext,103.4747421,ASV_003,176
1,100m,Ext,143.5850504,ASV_003,203
1,100m,Int,154.0269435,ASV_003,111
1,100m,Int,194.6352989,ASV_003,109
1,100m,Int,40.26680955,ASV_003,95
1,250m,Ext,121.8910417,ASV_003,310
1,250m,Ext,134.8991612,ASV_003,371
1,250m,Ext,101.0815428,ASV_003,300
1,250m,Int,139.1743613,ASV_003,148
1,250m,Int,162.6706403,ASV_003,111
1,250m,Int,207.1674794,ASV_003,110
1,500m,Ext,91.33440445,ASV_003,318
1,500m,Ext,354.8614903,ASV_003,310
1,500m,Ext,82.52716775,ASV_003,277
1,500m,Int,170.464582,ASV_003,159
1,500m,Int,276.4769752,ASV_003,137
1,500m,Int,194.6352989,ASV_003,183
1,1000m,Ext,34.18296926,ASV_003,266
1,1000m,Ext,42.85950948,ASV_003,361
1,1000m,Ext,213.7329942,ASV_003,358
1,1000m,Int,103.4747421,ASV_003,166
1,1000m,Int,133.8510407,ASV_003,117
1,2000m,Ext,32.1151392,ASV_003,169
1,2000m,Ext,36.95598261,ASV_003,101
1,2000m,Ext,41.86824004,ASV_003,158
1,2000m,Int,150.4645556,ASV_003,108
1,2000m,Int,14.72177286,ASV_003,211
1,2000m,Int,24.06425502,ASV_003,138
1,Control,Ext,34.18296926,ASV_003,184
1,Control,Ext,47.06490212,ASV_003,108
1,Control,Ext,42.85950948,ASV_003,149
1,Control,Int,26.63237405,ASV_003,NA
1,Control,Int,41.86824004,ASV_003,206
1,Control,Int,47.80487134,ASV_003,268
2,Control,Ext,127.7311348,ASV_003,146
2,Control,Ext,45.26470299,ASV_003,176
2,Control,Ext,34.45063898,ASV_003,125
2,Control,Int,16.67861809,ASV_003,179
2,Control,Int,46.69922388,ASV_003,213
2,Control,Int,47.80487134,ASV_003,305
3,Control,Ext,24.25269015,ASV_003,136
3,Control,Ext,203.9607443,ASV_003,108
3,Control,Ext,16.67861809,ASV_003,155
3,Control,Int,55.44145201,ASV_003,NA
3,Control,Int,110.1372753,ASV_003,NA
3,Control,Int,79.99207324,ASV_003,NA
1,0m,Ext,466.252599,ASV_004,57
1,0m,Ext,571.0789951,ASV_004,26
1,0m,Ext,185.7362293,ASV_004,14
1,0m,Int,110.1372753,ASV_004,324
1,0m,Int,278.641928,ASV_004,2
1,0m,Int,289.7236522,ASV_004,30
2,0m,Ext,202.3760388,ASV_004,0
2,0m,Ext,174.5004892,ASV_004,6
2,0m,Ext,402.0303347,ASV_004,8
2,0m,Int,500.1597489,ASV_004,64
2,0m,Int,632.0241119,ASV_004,NA
2,0m,Int,496.2736783,ASV_004,81
3,0m,Ext,441.4777159,ASV_004,2
3,0m,Ext,704.9504701,ASV_004,32
3,0m,Ext,180.0307276,ASV_004,NA
3,0m,Int,466.252599,ASV_004,21
3,0m,Int,110.1372753,ASV_004,18
3,0m,Int,357.640233,ASV_004,111
1,50m,Ext,427.9162698,ASV_004,0
1,50m,Ext,438.0475846,ASV_004,24
1,50m,Ext,398.9066961,ASV_004,4
1,50m,Int,276.4769752,ASV_004,0
1,50m,Int,247.8757333,ASV_004,95
1,50m,Int,411.548776,ASV_004,NA
1,100m,Ext,134.8991612,ASV_004,26
1,100m,Ext,103.4747421,ASV_004,7
1,100m,Ext,143.5850504,ASV_004,0
1,100m,Int,154.0269435,ASV_004,39
1,100m,Int,194.6352989,ASV_004,6
1,100m,Int,40.26680955,ASV_004,0
1,250m,Ext,121.8910417,ASV_004,0
1,250m,Ext,134.8991612,ASV_004,7
1,250m,Ext,101.0815428,ASV_004,1
1,250m,Int,139.1743613,ASV_004,0
1,250m,Int,162.6706403,ASV_004,174
1,250m,Int,207.1674794,ASV_004,18
1,500m,Ext,91.33440445,ASV_004,0
1,500m,Ext,354.8614903,ASV_004,13
1,500m,Ext,82.52716775,ASV_004,4
1,500m,Int,170.464582,ASV_004,0
1,500m,Int,276.4769752,ASV_004,3
1,500m,Int,194.6352989,ASV_004,0
1,1000m,Ext,34.18296926,ASV_004,2
1,1000m,Ext,42.85950948,ASV_004,4
1,1000m,Ext,213.7329942,ASV_004,0
1,1000m,Int,103.4747421,ASV_004,0
1,1000m,Int,133.8510407,ASV_004,10
1,2000m,Ext,32.1151392,ASV_004,0
1,2000m,Ext,36.95598261,ASV_004,0
1,2000m,Ext,41.86824004,ASV_004,0
1,2000m,Int,150.4645556,ASV_004,0
1,2000m,Int,14.72177286,ASV_004,0
1,2000m,Int,24.06425502,ASV_004,0
1,Control,Ext,34.18296926,ASV_004,41
1,Control,Ext,47.06490212,ASV_004,14
1,Control,Ext,42.85950948,ASV_004,45
1,Control,Int,26.63237405,ASV_004,NA
1,Control,Int,41.86824004,ASV_004,0
1,Control,Int,47.80487134,ASV_004,16
2,Control,Ext,127.7311348,ASV_004,16
2,Control,Ext,45.26470299,ASV_004,7
2,Control,Ext,34.45063898,ASV_004,13
2,Control,Int,16.67861809,ASV_004,0
2,Control,Int,46.69922388,ASV_004,0
2,Control,Int,47.80487134,ASV_004,11
3,Control,Ext,24.25269015,ASV_004,11
3,Control,Ext,203.9607443,ASV_004,58
3,Control,Ext,16.67861809,ASV_004,21
3,Control,Int,55.44145201,ASV_004,NA
3,Control,Int,110.1372753,ASV_004,NA
3,Control,Int,79.99207324,ASV_004,NA
1,0m,Ext,466.252599,ASV_005,30
1,0m,Ext,571.0789951,ASV_005,30
1,0m,Ext,185.7362293,ASV_005,38
1,0m,Int,110.1372753,ASV_005,36
1,0m,Int,278.641928,ASV_005,25
1,0m,Int,289.7236522,ASV_005,14
2,0m,Ext,202.3760388,ASV_005,19
2,0m,Ext,174.5004892,ASV_005,20
2,0m,Ext,402.0303347,ASV_005,14
2,0m,Int,500.1597489,ASV_005,0
2,0m,Int,632.0241119,ASV_005,NA
2,0m,Int,496.2736783,ASV_005,14
3,0m,Ext,441.4777159,ASV_005,20
3,0m,Ext,704.9504701,ASV_005,0
3,0m,Ext,180.0307276,ASV_005,NA
3,0m,Int,466.252599,ASV_005,0
3,0m,Int,110.1372753,ASV_005,0
3,0m,Int,357.640233,ASV_005,0
1,50m,Ext,427.9162698,ASV_005,37
1,50m,Ext,438.0475846,ASV_005,58
1,50m,Ext,398.9066961,ASV_005,29
1,50m,Int,276.4769752,ASV_005,46
1,50m,Int,247.8757333,ASV_005,45
1,50m,Int,411.548776,ASV_005,NA
1,100m,Ext,134.8991612,ASV_005,242
1,100m,Ext,103.4747421,ASV_005,124
1,100m,Ext,143.5850504,ASV_005,141
1,100m,Int,154.0269435,ASV_005,57
1,100m,Int,194.6352989,ASV_005,56
1,100m,Int,40.26680955,ASV_005,56
1,250m,Ext,121.8910417,ASV_005,192
1,250m,Ext,134.8991612,ASV_005,239
1,250m,Ext,101.0815428,ASV_005,305
1,250m,Int,139.1743613,ASV_005,94
1,250m,Int,162.6706403,ASV_005,58
1,250m,Int,207.1674794,ASV_005,72
1,500m,Ext,91.33440445,ASV_005,268
1,500m,Ext,354.8614903,ASV_005,254
1,500m,Ext,82.52716775,ASV_005,267
1,500m,Int,170.464582,ASV_005,132
1,500m,Int,276.4769752,ASV_005,113
1,500m,Int,194.6352989,ASV_005,145
1,1000m,Ext,34.18296926,ASV_005,232
1,1000m,Ext,42.85950948,ASV_005,364
1,1000m,Ext,213.7329942,ASV_005,329
1,1000m,Int,103.4747421,ASV_005,137
1,1000m,Int,133.8510407,ASV_005,103
1,2000m,Ext,32.1151392,ASV_005,129
1,2000m,Ext,36.95598261,ASV_005,89
1,2000m,Ext,41.86824004,ASV_005,121
1,2000m,Int,150.4645556,ASV_005,59
1,2000m,Int,14.72177286,ASV_005,140
1,2000m,Int,24.06425502,ASV_005,149
1,Control,Ext,34.18296926,ASV_005,174
1,Control,Ext,47.06490212,ASV_005,82
1,Control,Ext,42.85950948,ASV_005,91
1,Control,Int,26.63237405,ASV_005,NA
1,Control,Int,41.86824004,ASV_005,157
1,Control,Int,47.80487134,ASV_005,197
2,Control,Ext,127.7311348,ASV_005,108
2,Control,Ext,45.26470299,ASV_005,106
2,Control,Ext,34.45063898,ASV_005,91
2,Control,Int,16.67861809,ASV_005,116
2,Control,Int,46.69922388,ASV_005,137
2,Control,Int,47.80487134,ASV_005,194
3,Control,Ext,24.25269015,ASV_005,79
3,Control,Ext,203.9607443,ASV_005,83
3,Control,Ext,16.67861809,ASV_005,94
3,Control,Int,55.44145201,ASV_005,NA
3,Control,Int,110.1372753,ASV_005,NA
3,Control,Int,79.99207324,ASV_005,NA
1,0m,Ext,466.252599,ASV_006,20
1,0m,Ext,571.0789951,ASV_006,8
1,0m,Ext,185.7362293,ASV_006,53
1,0m,Int,110.1372753,ASV_006,44
1,0m,Int,278.641928,ASV_006,0
1,0m,Int,289.7236522,ASV_006,18
2,0m,Ext,202.3760388,ASV_006,10
2,0m,Ext,174.5004892,ASV_006,24
2,0m,Ext,402.0303347,ASV_006,16
2,0m,Int,500.1597489,ASV_006,14
2,0m,Int,632.0241119,ASV_006,NA
2,0m,Int,496.2736783,ASV_006,8
3,0m,Ext,441.4777159,ASV_006,12
3,0m,Ext,704.9504701,ASV_006,0
3,0m,Ext,180.0307276,ASV_006,NA
3,0m,Int,466.252599,ASV_006,5
3,0m,Int,110.1372753,ASV_006,0
3,0m,Int,357.640233,ASV_006,37
1,50m,Ext,427.9162698,ASV_006,55
1,50m,Ext,438.0475846,ASV_006,110
1,50m,Ext,398.9066961,ASV_006,53
1,50m,Int,276.4769752,ASV_006,69
1,50m,Int,247.8757333,ASV_006,126
1,50m,Int,411.548776,ASV_006,NA
1,100m,Ext,134.8991612,ASV_006,83
1,100m,Ext,103.4747421,ASV_006,70
1,100m,Ext,143.5850504,ASV_006,64
1,100m,Int,154.0269435,ASV_006,124
1,100m,Int,194.6352989,ASV_006,111
1,100m,Int,40.26680955,ASV_006,137
1,250m,Ext,121.8910417,ASV_006,113
1,250m,Ext,134.8991612,ASV_006,109
1,250m,Ext,101.0815428,ASV_006,85
1,250m,Int,139.1743613,ASV_006,159
1,250m,Int,162.6706403,ASV_006,93
1,250m,Int,207.1674794,ASV_006,80
1,500m,Ext,91.33440445,ASV_006,89
1,500m,Ext,354.8614903,ASV_006,108
1,500m,Ext,82.52716775,ASV_006,116
1,500m,Int,170.464582,ASV_006,126
1,500m,Int,276.4769752,ASV_006,137
1,500m,Int,194.6352989,ASV_006,170
1,1000m,Ext,34.18296926,ASV_006,109
1,1000m,Ext,42.85950948,ASV_006,93
1,1000m,Ext,213.7329942,ASV_006,112
1,1000m,Int,103.4747421,ASV_006,154
1,1000m,Int,133.8510407,ASV_006,134
1,2000m,Ext,32.1151392,ASV_006,149
1,2000m,Ext,36.95598261,ASV_006,115
1,2000m,Ext,41.86824004,ASV_006,176
1,2000m,Int,150.4645556,ASV_006,137
1,2000m,Int,14.72177286,ASV_006,149
1,2000m,Int,24.06425502,ASV_006,134
1,Control,Ext,34.18296926,ASV_006,175
1,Control,Ext,47.06490212,ASV_006,195
1,Control,Ext,42.85950948,ASV_006,146
1,Control,Int,26.63237405,ASV_006,NA
1,Control,Int,41.86824004,ASV_006,139
1,Control,Int,47.80487134,ASV_006,215
2,Control,Ext,127.7311348,ASV_006,167
2,Control,Ext,45.26470299,ASV_006,173
2,Control,Ext,34.45063898,ASV_006,132
2,Control,Int,16.67861809,ASV_006,107
2,Control,Int,46.69922388,ASV_006,125
2,Control,Int,47.80487134,ASV_006,197
3,Control,Ext,24.25269015,ASV_006,94
3,Control,Ext,203.9607443,ASV_006,139
3,Control,Ext,16.67861809,ASV_006,169
3,Control,Int,55.44145201,ASV_006,NA
3,Control,Int,110.1372753,ASV_006,NA
3,Control,Int,79.99207324,ASV_006,NA
1,0m,Ext,466.252599,ASV_007,21
1,0m,Ext,571.0789951,ASV_007,30
1,0m,Ext,185.7362293,ASV_007,34
1,0m,Int,110.1372753,ASV_007,82
1,0m,Int,278.641928,ASV_007,28
1,0m,Int,289.7236522,ASV_007,20
2,0m,Ext,202.3760388,ASV_007,0
2,0m,Ext,174.5004892,ASV_007,14
2,0m,Ext,402.0303347,ASV_007,0
2,0m,Int,500.1597489,ASV_007,21
2,0m,Int,632.0241119,ASV_007,NA
2,0m,Int,496.2736783,ASV_007,12
3,0m,Ext,441.4777159,ASV_007,0
3,0m,Ext,704.9504701,ASV_007,16
3,0m,Ext,180.0307276,ASV_007,NA
3,0m,Int,466.252599,ASV_007,0
3,0m,Int,110.1372753,ASV_007,19
3,0m,Int,357.640233,ASV_007,42
1,50m,Ext,427.9162698,ASV_007,47
1,50m,Ext,438.0475846,ASV_007,71
1,50m,Ext,398.9066961,ASV_007,40
1,50m,Int,276.4769752,ASV_007,72
1,50m,Int,247.8757333,ASV_007,143
1,50m,Int,411.548776,ASV_007,NA
1,100m,Ext,134.8991612,ASV_007,61
1,100m,Ext,103.4747421,ASV_007,59
1,100m,Ext,143.5850504,ASV_007,34
1,100m,Int,154.0269435,ASV_007,150
1,100m,Int,194.6352989,ASV_007,147
1,100m,Int,40.26680955,ASV_007,157
1,250m,Ext,121.8910417,ASV_007,68
1,250m,Ext,134.8991612,ASV_007,80
1,250m,Ext,101.0815428,ASV_007,62
1,250m,Int,139.1743613,ASV_007,160
1,250m,Int,162.6706403,ASV_007,115
1,250m,Int,207.1674794,ASV_007,90
1,500m,Ext,91.33440445,ASV_007,73
1,500m,Ext,354.8614903,ASV_007,65
1,500m,Ext,82.52716775,ASV_007,66
1,500m,Int,170.464582,ASV_007,92
1,500m,Int,276.4769752,ASV_007,84
1,500m,Int,194.6352989,ASV_007,116
1,1000m,Ext,34.18296926,ASV_007,44
1,1000m,Ext,42.85950948,ASV_007,72
1,1000m,Ext,213.7329942,ASV_007,48
1,1000m,Int,103.4747421,ASV_007,78
1,1000m,Int,133.8510407,ASV_007,101
1,2000m,Ext,32.1151392,ASV_007,108
1,2000m,Ext,36.95598261,ASV_007,79
1,2000m,Ext,41.86824004,ASV_007,101
1,2000m,Int,150.4645556,ASV_007,93
1,2000m,Int,14.72177286,ASV_007,112
1,2000m,Int,24.06425502,ASV_007,121
1,Control,Ext,34.18296926,ASV_007,129
1,Control,Ext,47.06490212,ASV_007,150
1,Control,Ext,42.85950948,ASV_007,122
1,Control,Int,26.63237405,ASV_007,NA
1,Control,Int,41.86824004,ASV_007,191
1,Control,Int,47.80487134,ASV_007,233
2,Control,Ext,127.7311348,ASV_007,149
2,Control,Ext,45.26470299,ASV_007,177
2,Control,Ext,34.45063898,ASV_007,183
2,Control,Int,16.67861809,ASV_007,151
2,Control,Int,46.69922388,ASV_007,155
2,Control,Int,47.80487134,ASV_007,189
3,Control,Ext,24.25269015,ASV_007,137
3,Control,Ext,203.9607443,ASV_007,250
3,Control,Ext,16.67861809,ASV_007,283
3,Control,Int,55.44145201,ASV_007,NA
3,Control,Int,110.1372753,ASV_007,NA
3,Control,Int,79.99207324,ASV_007,NA
1,0m,Ext,466.252599,ASV_008,14
1,0m,Ext,571.0789951,ASV_008,0
1,0m,Ext,185.7362293,ASV_008,17
1,0m,Int,110.1372753,ASV_008,0
1,0m,Int,278.641928,ASV_008,13
1,0m,Int,289.7236522,ASV_008,16
2,0m,Ext,202.3760388,ASV_008,14
2,0m,Ext,174.5004892,ASV_008,8
2,0m,Ext,402.0303347,ASV_008,0
2,0m,Int,500.1597489,ASV_008,0
2,0m,Int,632.0241119,ASV_008,NA
2,0m,Int,496.2736783,ASV_008,0
3,0m,Ext,441.4777159,ASV_008,0
3,0m,Ext,704.9504701,ASV_008,0
3,0m,Ext,180.0307276,ASV_008,NA
3,0m,Int,466.252599,ASV_008,0
3,0m,Int,110.1372753,ASV_008,17
3,0m,Int,357.640233,ASV_008,0
1,50m,Ext,427.9162698,ASV_008,60
1,50m,Ext,438.0475846,ASV_008,38
1,50m,Ext,398.9066961,ASV_008,55
1,50m,Int,276.4769752,ASV_008,79
1,50m,Int,247.8757333,ASV_008,64
1,50m,Int,411.548776,ASV_008,NA
1,100m,Ext,134.8991612,ASV_008,153
1,100m,Ext,103.4747421,ASV_008,117
1,100m,Ext,143.5850504,ASV_008,135
1,100m,Int,154.0269435,ASV_008,134
1,100m,Int,194.6352989,ASV_008,96
1,100m,Int,40.26680955,ASV_008,102
1,250m,Ext,121.8910417,ASV_008,189
1,250m,Ext,134.8991612,ASV_008,218
1,250m,Ext,101.0815428,ASV_008,215
1,250m,Int,139.1743613,ASV_008,114
1,250m,Int,162.6706403,ASV_008,84
1,250m,Int,207.1674794,ASV_008,81
1,500m,Ext,91.33440445,ASV_008,213
1,500m,Ext,354.8614903,ASV_008,216
1,500m,Ext,82.52716775,ASV_008,153
1,500m,Int,170.464582,ASV_008,111
1,500m,Int,276.4769752,ASV_008,96
1,500m,Int,194.6352989,ASV_008,126
1,1000m,Ext,34.18296926,ASV_008,133
1,1000m,Ext,42.85950948,ASV_008,226
1,1000m,Ext,213.7329942,ASV_008,198
1,1000m,Int,103.4747421,ASV_008,121
1,1000m,Int,133.8510407,ASV_008,90
1,2000m,Ext,32.1151392,ASV_008,103
1,2000m,Ext,36.95598261,ASV_008,77
1,2000m,Ext,41.86824004,ASV_008,79
1,2000m,Int,150.4645556,ASV_008,53
1,2000m,Int,14.72177286,ASV_008,96
1,2000m,Int,24.06425502,ASV_008,84
1,Control,Ext,34.18296926,ASV_008,102
1,Control,Ext,47.06490212,ASV_008,89
1,Control,Ext,42.85950948,ASV_008,76
1,Control,Int,26.63237405,ASV_008,NA
1,Control,Int,41.86824004,ASV_008,96
1,Control,Int,47.80487134,ASV_008,129
2,Control,Ext,127.7311348,ASV_008,81
2,Control,Ext,45.26470299,ASV_008,107
2,Control,Ext,34.45063898,ASV_008,84
2,Control,Int,16.67861809,ASV_008,102
2,Control,Int,46.69922388,ASV_008,96
2,Control,Int,47.80487134,ASV_008,145
3,Control,Ext,24.25269015,ASV_008,78
3,Control,Ext,203.9607443,ASV_008,83
3,Control,Ext,16.67861809,ASV_008,93
3,Control,Int,55.44145201,ASV_008,NA
3,Control,Int,110.1372753,ASV_008,NA
3,Control,Int,79.99207324,ASV_008,NA
1,0m,Ext,466.252599,ASV_009,16
1,0m,Ext,571.0789951,ASV_009,8
1,0m,Ext,185.7362293,ASV_009,56
1,0m,Int,110.1372753,ASV_009,33
1,0m,Int,278.641928,ASV_009,0
1,0m,Int,289.7236522,ASV_009,0
2,0m,Ext,202.3760388,ASV_009,14
2,0m,Ext,174.5004892,ASV_009,20
2,0m,Ext,402.0303347,ASV_009,0
2,0m,Int,500.1597489,ASV_009,0
2,0m,Int,632.0241119,ASV_009,NA
2,0m,Int,496.2736783,ASV_009,0
3,0m,Ext,441.4777159,ASV_009,0
3,0m,Ext,704.9504701,ASV_009,32
3,0m,Ext,180.0307276,ASV_009,NA
3,0m,Int,466.252599,ASV_009,0
3,0m,Int,110.1372753,ASV_009,0
3,0m,Int,357.640233,ASV_009,0
1,50m,Ext,427.9162698,ASV_009,17
1,50m,Ext,438.0475846,ASV_009,76
1,50m,Ext,398.9066961,ASV_009,34
1,50m,Int,276.4769752,ASV_009,0
1,50m,Int,247.8757333,ASV_009,41
1,50m,Int,411.548776,ASV_009,NA
1,100m,Ext,134.8991612,ASV_009,300
1,100m,Ext,103.4747421,ASV_009,119
1,100m,Ext,143.5850504,ASV_009,126
1,100m,Int,154.0269435,ASV_009,41
1,100m,Int,194.6352989,ASV_009,37
1,100m,Int,40.26680955,ASV_009,40
1,250m,Ext,121.8910417,ASV_009,171
1,250m,Ext,134.8991612,ASV_009,251
1,250m,Ext,101.0815428,ASV_009,209
1,250m,Int,139.1743613,ASV_009,59
1,250m,Int,162.6706403,ASV_009,30
1,250m,Int,207.1674794,ASV_009,40
1,500m,Ext,91.33440445,ASV_009,202
1,500m,Ext,354.8614903,ASV_009,233
1,500m,Ext,82.52716775,ASV_009,220
1,500m,Int,170.464582,ASV_009,80
1,500m,Int,276.4769752,ASV_009,100
1,500m,Int,194.6352989,ASV_009,83
1,1000m,Ext,34.18296926,ASV_009,199
1,1000m,Ext,42.85950948,ASV_009,356
1,1000m,Ext,213.7329942,ASV_009,298
1,1000m,Int,103.4747421,ASV_009,117
1,1000m,Int,133.8510407,ASV_009,77
